mean_los,median_los,std_los,max_occupancy,throughput,mean_critical_wait,equity_index,p95_los,scenario,policy,seed
98.2765181998285,86.28772665863812,52.53713442076697,69.0,445.0,0.0,0.0,202.09362774018186,demand_+40%,srpt,9
102.31475124867188,87.05502410245859,61.481439882903295,84.0,463.0,0.0,0.0,215.94890726525685,demand_+40%,heuristic,0
94.79791826642511,82.23161205831781,48.99224021304344,81.0,496.0,0.0,0.0,196.82206111046736,demand_+40%,heuristic,1
97.82698737259588,81.30895109124253,53.7580821500413,89.0,486.0,0.0,0.0,193.9141459656604,demand_+40%,heuristic,2
98.26706226182942,85.60046654415572,50.28084788546144,74.0,470.0,0.0,0.0,202.23936946696747,demand_+40%,heuristic,3
101.6479697365759,85.1972932906932,60.45884681299081,72.0,481.0,0.0,0.0,216.24752571502154,demand_+40%,heuristic,4
99.94585122106793,85.93392652777925,52.969407651791876,84.0,497.0,0.0,0.0,199.38562652239744,demand_+40%,heuristic,5
96.25957230969185,82.04088563031391,53.336095296486924,74.0,475.0,0.0,0.0,200.52924794300856,demand_+40%,heuristic,6
99.5566627371624,83.35937034809842,53.717592322151475,68.0,478.0,0.0,0.0,208.30228356364267,demand_+40%,heuristic,7
95.91076059178111,81.67811677595918,52.635770914807345,67.0,468.0,0.0,0.0,183.11550709689323,demand_+40%,heuristic,8
98.2765181998285,86.28772665863812,52.53713442076697,69.0,445.0,0.0,0.0,202.09362774018186,demand_+40%,heuristic,9
93.59492413375655,80.45822557915676,51.81762897765592,61.0,418.0,0.0,0.0,196.8931436439347,demand_+40%,dqn_dt,0
95.84282463163319,83.82766682717764,48.1845532774066,66.0,441.0,0.0,0.0,199.17634456361054,demand_+40%,dqn_dt,1
99.58620895219504,86.18166568069853,53.37809227827233,66.0,441.0,0.0,0.0,198.49825301999567,demand_+40%,dqn_dt,2
98.96233662864549,87.40540792109641,50.767136022693606,69.0,471.0,0.0,0.0,191.2989228283059,demand_+40%,dqn_dt,3
97.7959832367189,84.57012472837425,52.489152865336926,72.0,411.0,0.0,0.0,203.77320495980996,demand_+40%,dqn_dt,4
